Gene_name,GSM1342279,GSM1342280,GSM1342281,GSM1342282,GSM1342283
SCYL3,-0.5339246,-0.29417753,-0.8009634,-0.9115882,-0.78400946
TPST1,-0.05056095,-0.04437065,0.67986107,0.8373375,0.93299484
MGP,0.37990856,0.25203228,-2.2834644,-2.2605057,-2.3475895
ABCC5,1.7029686,1.7496586,0.76168823,0.681242,0.69973564
FGFR3,-0.19557858,-0.18805599,0.12822485,0.027175903,-0.015831947
TP53I3,-0.50705194,-0.6306033,0.91527367,1.0555573,1.0861444
LOC283767,0.07758331,0.113642216,-0.01739645,0.08907604,0.06940746
LOC653648,-0.06395054,-0.378788,0.06397247,-0.060805798,0.0646472
C6orf129,0.814106,1.0135679,0.13300705,0.21447372,0.32736206
FAM156A,0.29168606,0.10718918,0.9859934,0.9753256,0.86450005
GNG10,-0.6854224,-1.0165281,0.004575729,-0.46331453,-0.060858727
SMC1A,0.49350166,0.6012111,-0.1435895,-0.36889887,-0.52198887
C15orf23,-0.23321342,-0.07268524,1.4304056,1.608921,1.5554609
LOC647451,0.028767109,0.03735161,-0.12929296,-0.09201813,0.15194035
PPEF1,1.7785978,1.8010254,-0.62554073,-0.52378416,-0.5453844
DHX57,-0.11901808,0.018219948,0.03551674,-0.16006088,0.11311674
HRBL,-0.09969187,-0.09114313,-0.05326271,0.1166482,0.20772457
CSNK1G3,-0.5857458,-0.6057997,0.47567844,0.71325016,0.48298645
UPP2,-0.04278946,-0.07122469,-0.19802189,0.10024738,-0.21405506
KCNMB1,-1.1026325,-1.1528788,0.14176083,0.34410477,-0.052550316
SNED1,0.060753345,0.24721193,-0.050126553,0.24031353,-0.114513874
MGC42105,-0.21360636,-0.11036873,-0.03753376,0.12781763,-0.25267315
LOC641846,-0.030236244,0.14103079,-0.016360283,0.10368633,0.028899193
LOC644003,0.068965435,0.05407858,0.15116549,0.14606714,0.09383488
MPHOSPH10,-0.23477077,-0.019618988,0.61175346,0.34504318,0.6211605
PAPOLB,0.05394411,0.18432093,-0.071455956,0.12874174,-0.13589478
LOC388578,0.019349098,0.10659218,-0.038912773,-0.06010723,-0.029356956
KRAS,0.05425501,-0.27896786,0.1724329,-0.15151453,-0.083221436
DDX12,-0.06712675,-0.18973398,-0.14814806,0.1431489,0.28888273
LOC641989,0.44265175,0.2458291,0.037050247,0.06312513,0.19086456
LMBRD1,-0.53112984,-0.09021282,-0.7676382,-0.82804585,-0.6119404
LOC649945,0.10539055,-0.0943079,-0.020843983,-0.013050556,0.1363182
PPYR1,0.02959776,0.016453266,0.07499933,-0.013832569,-0.016777992
LOC653751,-0.08155632,-0.03302908,0.2218647,-0.05092621,0.31523705
MRPL43,0.738307,0.5206766,-0.2800913,-0.25554848,-0.107785225
LOC644829,-0.2518716,-0.068636894,-0.16421604,0.11790371,0.10001087
DHX9,-0.2644353,-0.5121393,0.21885347,0.14911509,0.40561008
PNKD,0.31554794,0.19433069,0.07203388,0.21837378,0.13294268
DVL2,-0.15224457,-0.18407536,0.35276222,0.19979668,0.13301563
LOC729196,0.2353611,-0.16863775,0.015461445,-0.011953354,-0.03555727
GUCY1B2,0.6042371,0.7538185,-0.3449049,-0.25003147,-0.3729744
LOC649159,-0.13929462,-0.07077646,0.3045764,-0.07162905,0.48231983
CDKN2C,-0.11315584,-0.40796566,0.32930517,0.38375998,0.32505322
FLJ41733,-0.0699029,-0.148942,0.022720337,0.17081594,0.23428011
IL4R,-0.40244865,-0.67195415,-1.3501616,-1.6664076,-1.5073681
KIAA1632,0.114057064,0.02792263,-0.12672758,0.021222115,0.010163784
CCM2,0.105639935,0.19949293,0.074406624,-0.12587643,-0.013854981
LOC642113,-1.2415314,-0.9673934,-1.8728266,-1.6169481,-1.7890744
LOC645785,0.3815651,-0.13600159,0.12590551,0.071462154,0.053436756
LOC642628,0.27832365,0.3168993,-0.08518267,-0.23753595,0.006001949
COX4I1,0.4004364,0.2208519,-0.4868965,-0.24245834,-0.30264473
LOC731432,-0.15651369,-0.3837242,0.07946873,0.14611721,0.12377882
LOC644310,-0.58314323,-1.2173948,-0.5701499,-0.45254278,-0.2464552
LOC440080,-0.008909702,0.25194693,-0.14336061,-0.09285927,-0.14333868
C20orf112,-0.24084854,-0.10682869,-0.2991767,-0.20818663,-0.004254818
WDR91,0.24675274,0.065873146,-0.44452953,-0.37520647,-0.18379974
LOC647361,-0.1617651,-0.12449455,0.26539516,-0.110497475,0.107670784
LOC732313,-0.005898476,0.1480298,-0.010009766,-0.11531258,-0.034740448
CBR3,-0.8665495,-0.83614254,-0.13771915,-0.027129173,-0.09087944
LOC643206,-0.17668915,0.24913502,-0.27713013,-0.1863966,-0.119511604
FLJ32784,-0.1870532,-0.033770084,0.005301476,0.1414628,0.015133381
POPDC3,-0.61530495,-0.5059719,0.6641011,0.95667505,0.66222954
KIAA0363,-0.2837639,-0.25439167,0.6942034,0.790226,1.049489
LOC653319,0.053952217,0.21800518,-0.042061806,-0.01860714,0.084023476
PPP2R4,-0.10191774,-0.11049366,0.25507307,0.30583858,-0.026134491
LOC643125,0.1890254,-0.06346989,0.121406555,0.078603745,-0.22447968
LOC644311,0.14049006,0.19061136,-0.16507816,0.12519264,-0.116138935
MAGEA3,-0.90577507,-0.7067256,1.178832,1.2233658,1.3690195
SECTM1,-0.22475624,0.07161188,-0.028782368,0.05141306,0.32056236
FBXO32,-1.327754,-1.14007,-1.365159,-1.0631428,-1.364583
PRM3,0.06433439,0.13430738,-0.18170929,0.017677307,0.09410429
NOG,-0.5246129,-0.39823866,0.58080864,0.6268544,0.41413927
EVX2,0.030394077,0.034921646,0.08399773,-0.102751255,-0.010590076
LOC642468,0.22823906,-0.29430485,-0.07501459,0.10195112,0.03006792
MEGF10,0.040968895,0.051921368,0.23983908,0.002027035,0.13999414
TTC8,-0.350595,-0.6294055,-0.5291424,-0.48323345,-0.6049628
RNF215,0.44098568,0.27075195,0.32792282,0.3581319,0.38844967
SPAG1,-0.114206314,-0.13611317,0.16781807,0.021168232,-0.07457495
LOC642528,-0.16984701,0.1243062,0.13156986,0.14680243,0.14515781
FN3KRP,0.45800972,0.2284813,-0.53843117,-0.3775139,-0.56913185
LOC649143,0.2161665,0.002500534,-0.04525566,0.07936001,-0.043830395
LOC652735,0.105903625,-0.30848217,-0.19175911,-0.020673752,-0.10858393
FLJ46481,0.10391998,0.5325608,-0.25977898,-0.035342693,0.11275768
PDHX,-0.8470154,-0.6594095,0.15496826,0.2529459,0.20138359
LOC127602,-0.17195988,-0.055945396,0.11283541,0.01871872,0.003549576
NLRP7,-0.011757851,-0.00207901,-0.16087675,-0.21979713,-0.18497276
LOC647247,-0.1298089,0.015214443,-0.15631151,-0.1374855,0.0727849
ERCC1,-0.40693474,-0.43090343,-0.008584499,0.057593822,0.17618132
KIAA1324L,-0.00165081,-0.22189713,0.111044884,0.18525028,0.15184402
IFNA17,-0.06667709,-0.090426445,-0.054679394,0.049492836,0.11037779
IPO7,0.118011475,0.12703705,1.1182871,1.274354,1.080245
SUCLG2,0.30474854,0.35106468,-0.57770157,-0.9183445,-1.0498857
SIGLEC5,0.034863472,-0.0685029,0.07192469,0.13101292,0.11915541
DCHS2,0.042533398,-0.23781729,0.005074978,-0.065310955,-0.03512907
RAB2A,-0.6672344,-0.5383959,0.5571432,0.64501095,0.6208544
TRPT1,0.08449364,-0.10203791,-0.25779772,-0.08926439,-0.14660454
ZMYND8,0.888505,0.7782831,-0.046416283,-0.20345116,-0.10793018
PHKB,-1.8171849,-1.5247502,-0.6295457,-0.5211549,-0.61420345
UCN2,-0.63800144,-0.54050016,0.620975,0.87574816,0.8536868
DC36,0.15510654,0.09261751,-0.19677973,-0.15019083,0.05226326
OR1S1,-0.11693239,0.008860111,-0.27306128,-0.09404659,-0.18734741
CXorf30,0.075037,0.12487841,-0.19918776,0.003672123,-0.001815796
LOC642268,0.006478787,0.0864048,-0.06485987,0.006816387,-0.029275417
CA1,-0.32810545,-0.024497032,-0.2644248,-0.28684902,-0.004282951
MTHFD2L,0.08707905,0.08925533,-0.4456005,-0.33864594,-0.28670025
LOC646029,0.18556166,-0.02151823,0.023022652,-0.13293076,-0.055589676
KRTAP3-1,0.13672781,-0.15033436,0.110385895,0.018920422,0.04411888
RAC1,-0.6940489,-1.1958971,-0.39706755,-0.54158974,-0.3825822
LOC647509,0.0656147,-0.057190895,0.03654051,0.09660864,-0.013562679
TMEM98,-0.5691061,-0.40422535,0.6307726,0.69314766,0.98003674
LOC654161,-0.3103156,-0.5166526,-0.06606674,-0.03130293,0.16710997
PARD3B,-0.111447334,-0.19582367,-0.13080454,0.06586313,-0.056734562
TUBA3E,-1.2854338,-1.0072389,1.5346193,1.6972437,1.6242304
SLC26A4,-0.22872019,0.043306828,-0.2030921,-0.012248039,-0.28343678
LOC648302,-0.06822491,-0.24720144,0.19650126,0.046122074,0.23726702
BRAF,0.20858335,0.04876852,-0.054951668,0.070465565,-0.2840743
THAP7,0.64529467,0.50576353,0.65062,0.52716494,0.97766066
RIOK1,-0.83477163,-0.64438105,1.412468,1.2129936,0.952693
LOC644883,-0.014517307,0.19354677,-0.20747137,-0.0753932,-0.11974573
MANSC1,0.28430223,-0.20730734,-0.5842767,-0.37471485,-0.6458211
FAM139A,0.07047176,-0.2116394,-0.097157955,-0.005540371,-0.1473136
APEX2,0.050938606,0.051031113,0.6975851,0.7565155,0.6541748
LOC646870,0.16269541,0.14399433,0.017408848,-0.049254417,-0.004642487
C2CD2,0.29174614,0.26202393,-0.4982109,-0.5049505,-0.54471016
MTMR9,0.6933222,0.6337309,0.30324936,0.42034912,0.30419922
FAM125B,0.25351334,0.19765759,-0.012137413,-0.063503265,-0.23322105
LOC644808,-0.068674564,0.03691721,-0.06604147,-0.1287837,-0.1480999
DKFZp434K191,-0.019248962,0.14260387,-0.6904144,-1.0116653,-0.81597424
RELL2,-0.7369642,-0.35084677,0.45860767,0.63156986,0.61354876
LOC647681,0.4826069,-0.023908138,0.0378747,-0.14806175,-0.062465668
LRRC4B,0.20273304,-0.0950675,-0.051417828,-0.15913296,-0.021014214
USP32,-0.06237316,-0.124147415,0.14784431,0.071492195,0.20488548
TSHB,-0.22266245,0.01596117,-0.12952948,-0.117554665,0.013759136
POLD1,-0.12642288,0.13347054,-0.005833626,0.124028206,0.07598877
C11orf35,0.06658363,0.055163383,-0.10917711,-0.15930271,-0.5251627
