Gene_name,GSM368877,GSM368878,GSM368879,GSM368880,GSM368881,GSM368882,GSM368883,GSM368884,GSM368885,GSM368886,GSM368887,GSM368888,GSM368889,GSM368890
YIPF5,-2.726364185,-1.959785453,-2.726364185,-1.91700994,2.369365121,-0.47261501,-2.726364185,-1.794961469,-2.726364185,-2.320637932,-2.726364185,2.93291018,-2.726364185,-2.726364185
C4BPA,-2.164023374,-2.164023374,1.680921486,-2.164023374,1.864307077,-2.081957809,-2.164023374,2.790315454,-2.164023374,-2.164023374,-0.992070808,-2.164023374,-1.697845902,-2.164023374
SH3KBP1,-0.184964969,-0.311129134,-0.35476641,-0.334469264,-0.025023667,-0.140161025,-0.094261728,0.109472351,0.316058618,-0.034836457,1.000694821,-0.031884158,-0.139120538,0.301523378
WASF3,-2.002796341,-3.829701965,-4.389971661,-4.116910942,0.207877283,0.207877283,2.058016882,-1.330261334,-2.507964302,-3.123822041,-1.179685346,1.693493261,-0.308693208,1.234332882
EEF1A1,-0.021750555,0.329789558,-0.053474198,0.074481995,-0.817912754,-0.252406071,0.028522103,0.033556394,0.223176393,0.004662785,0.023266086,-0.581914295,-0.028561226,0.105687464
ZNF343,0.553276907,1.212728729,0.892229934,1.027091997,-2.170265272,-1.009623762,-0.806512818,0.470086109,0.105161259,0.634300751,0.294565028,-2.170265272,-1.102968169,-0.391523407
MSH5,0.163437226,0.97444705,-0.06982237,0.406997191,-0.979825325,-2.248715742,-3.041554439,-0.132131733,0.565170555,0.819744046,0.023694729,1.005594017,-0.02503472,-3.041554439
SPRR3,0.787183252,0,0,0,0,0.59963439,0,0,0,0,0,0.522203929,0,0
PDE5A,-1.938816141,-5.554273637,-5.554273637,-5.554273637,-5.554273637,-0.185324177,1.712344267,-1.573105399,-0.385700042,-2.548160788,-0.786835008,-1.164860413,0.493302921,2.871503496
MTDH,0.365082718,0.102540905,0.158789518,-0.18275688,0.405095857,-1.250655706,-1.008925265,0.44133698,-0.073043,0.082410132,-0.026731464,-1.345865208,-0.408452438,-0.75129912
RARRES2,-5.561705992,-5.561705992,-5.561705992,-5.561705992,1.958717238,0.127263736,0.584958139,-5.561705992,-5.561705992,-5.561705992,-5.561705992,2.074286404,-0.090314671,2.132647542
LAMC1,-6.68690996,-2.855982461,-3.30056794,-6.438340407,0.632763801,0.81367369,1.687225629,-3.880067772,-3.632353244,-4.761656083,-4.471275676,0.450983674,0.546918442,2.450854984
LOC390637,-1.791902169,-1.016109234,-1.832174379,-0.821257173,2.908401688,-0.397567448,-2.423249529,-1.181802126,-1.455051,-1.55864933,-1.808088117,-1.581501712,-0.756119921,-1.062630741
HDAC5,-2.67515286,-2.67515286,-2.67515286,-2.46231275,-0.557620296,-0.182260917,2.155917769,-2.67515286,-2.67515286,-2.67515286,-1.812877043,2.628733119,-1.253721841,0.748975628
S100A5,-0.705437573,-0.433719578,0.705680033,0.962931933,-0.589287794,-0.468250813,0.910688734,0.080309059,0.179536617,0.340159576,0.707875259,-1.21149486,0.388711846,-1.21149486
PMP22,0.512820222,-1.386874323,-1.056345895,0.488158324,1.277611386,-1.938000238,1.129487904,0.181765945,-1.938000238,-0.036016649,-1.938000238,1.193429766,-1.938000238,1.520157805
MRPS12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNGR1,1.001102098,0.893932055,0.733655414,1.422126046,-3.354179448,-4.692372953,-3.354179448,0.844040934,0.657635234,0.94441056,-0.105848532,-2.027199522,-3.567825537,-3.948460089
ASB16,0,0,0,0.533803777,0,0,1.279615038,3.135589249,0,0.671046485,0,0,0,0.221807496
ZNF629,0.332168712,0.423530417,-0.319825653,0.167708411,-4.246180956,-3.11031697,-0.187721042,0.16555288,0.269310741,0.269672604,0.549648319,-4.246180956,0.842909568,0.307591928
RNASEH2A,0.750694816,1.126267822,0.889827149,1.438402602,-6.167945458,-0.139486239,-3.070535736,0.636859695,0.309039923,0.542114937,-0.125259729,-6.478797631,-1.602635697,-2.765136669
FAAH,-1.909568907,-1.513423898,-1.13335405,-1.223876235,1.129466577,0.002329603,-1.106604638,-1.533785599,-1.41742592,-1.306790117,-1.099062711,-3.375923321,1.693915485,-1.128154977
PCNT2,-0.719140692,-0.284473522,-1.798370987,-1.894714613,0.070650375,-0.300418882,1.449659396,-1.487151292,-0.656910538,-0.523958516,-0.384054719,0.998771217,0.455155554,0.929334406
MGC45491,0,0,0,0,0,0,0,0,0.068822122,0.65129456,0,0.179274563,0,0
MPZ,0.371563319,0.175815478,0.75242967,1.350410134,-0.206891196,1.568883146,0.12161715,0.916635541,0.623820477,0.963563899,0.161287665,-0.206891196,-0.206891196,-0.206891196
COMT,-0.041682858,0.356424818,0.447182315,0.764769563,1.586874112,-1.184987495,-0.427106976,0.373474713,0.60180723,-0.071511399,-0.074767495,-2.861080255,-2.861080255,-0.457332453
CYP3A5,0,0,0,0,2.74192534,0,0.484343755,0,0,0,0,2.655414802,0,1.746171393
PTPRK,-2.222571574,-4.865992293,-4.865992293,-4.865992293,-2.474801643,-0.274215651,0.886581536,-4.865992293,-4.865992293,-4.865992293,-4.865992293,-4.865992293,0.16874643,1.598328816
CDV3,0.491085032,-0.029936477,0.145902167,-0.132245106,-1.720631411,-1.374513793,0.570960896,0.178193091,0.396169003,0.588265401,0.53218909,-1.582671778,0.247707427,-0.201277282
SBEM,-2.053422332,-8.837921239,-8.619729712,-7.065572338,-2.491597693,2.451025853,-1.097828455,-8.670928156,-5.047659291,-9.051988895,-3.675645513,1.261332708,-3.15305893,1.405909895
